cod_comuna,nombre_comuna,region,poblacion,hombres,mujeres,edad_0_14,edad_15_29,edad_30_44,edad_45_59,edad_60_mas,escolaridad_promedio
9202,Collipulli,La Araucanía,24303,11731,12572,4566,4852,4941,4667,5277,8.6
9203,Curacautín,La Araucanía,18536,8944,9592,3185,3228,3662,3677,4784,9.3
9204,Ercilla,La Araucanía,7730,3750,3980,1571,1561,1485,1447,1666,8.2
9205,Lonquimay,La Araucanía,10247,5125,5122,2074,2023,1966,2003,2181,8.2
9206,Los Sauces,La Araucanía,7348,3636,3712,1314,1300,1414,1495,1825,8.2
9207,Lumaco,La Araucanía,9253,4691,4562,1670,1748,1752,1899,2184,7.7
9208,Purén,La Araucanía,12184,5793,6391,2259,2196,2404,2373,2952,8.5
9209,Renaico,La Araucanía,10686,5150,5536,2012,1981,2202,2144,2347,8.7
9210,Traiguén,La Araucanía,18873,8971,9902,3460,3472,3486,3577,4878,8.8
9211,Victoria,La Araucanía,34464,16600,17864,6218,6499,6907,6738,8102,9.4
